                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0911,                 1.1906,                 1.5726,                0.87068,                0.80369,                0.86443,                0.67107,                0.84483,                0.79395,                 1.2693,             0.00026654,             0.00026654,             0.00026654
                     36,                 1.0393,                 1.1303,                 1.5317,                0.88692,                0.78322,                 0.8593,                0.65941,                0.89468,                0.78974,                  1.302,             0.00025131,             0.00025131,             0.00025131
                     37,                 1.0692,                 1.1354,                  1.546,                0.71881,                0.84566,                 0.8716,                0.66722,                0.92135,                 0.7708,                 1.3353,             0.00023608,             0.00023608,             0.00023608
                     38,                 1.0624,                 1.1397,                 1.5422,                0.84552,                0.75234,                0.83305,                0.65654,                0.83303,                 0.7789,                 1.2588,             0.00022086,             0.00022086,             0.00022086
                     39,                 1.0257,                 1.0894,                 1.5138,                0.84308,                0.81402,                0.86761,                0.69517,                0.80373,                0.72949,                 1.2473,             0.00020563,             0.00020563,             0.00020563
                     40,                 1.0751,                 1.1185,                 1.5566,                0.87983,                0.76546,                0.85961,                0.69192,                0.80593,                0.73369,                 1.2609,              0.0001904,              0.0001904,              0.0001904
                     41,                0.86979,                0.97953,                 1.3798,                 0.6327,                 0.8303,                 0.8107,                0.64621,                0.79412,                0.84936,                 1.2517,             0.00017518,             0.00017518,             0.00017518
                     42,                0.83935,                 0.9023,                 1.3515,                0.90186,                0.79102,                0.86597,                0.69674,                 0.7845,                0.72616,                 1.2204,             0.00015995,             0.00015995,             0.00015995
                     43,                0.82344,                0.87769,                 1.3354,                0.85515,                0.78585,                0.87483,                0.69463,                0.83587,                0.80709,                 1.2581,             0.00014473,             0.00014473,             0.00014473
                     44,                0.80993,                0.83434,                 1.3174,                0.90567,                0.77192,                0.87555,                0.70031,                0.79831,                0.68631,                 1.2503,              0.0001295,              0.0001295,              0.0001295
                     45,                0.81728,                0.83001,                  1.319,                0.85662,                0.76959,                0.84177,                0.67401,                0.80192,                 0.7405,                 1.2289,             0.00011427,             0.00011427,             0.00011427
                     46,                0.80068,                0.82423,                   1.31,                0.70084,                0.81155,                0.82071,                0.63523,                0.83916,                0.78504,                 1.2583,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                0.79717,                0.83222,                 1.3155,                0.76071,                0.77516,                0.82188,                0.65909,                0.80442,                 0.8045,                 1.2509,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                0.79645,                 0.7785,                 1.3056,                0.70704,                0.88978,                0.89732,                0.73164,                 0.7744,                0.71456,                 1.2028,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                0.78528,                0.75435,                  1.293,                0.73361,                0.87143,                0.87424,                0.70061,                0.78298,                0.65189,                 1.2291,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                0.78027,                 0.7473,                 1.2907,                0.73601,                0.88858,                0.89258,                0.72837,                0.77442,                0.62791,                 1.2044,             3.8142e-05,             3.8142e-05,             3.8142e-05
